corp_id,corp_name,typ,address,county,coords,NAME
8010,North Vermillion Community School Corporation,School Corporation,"5551 N Falcon Dr, Cayuga, IN, 47928",Vermillion,"c(-87.4519935, 39.9669621)",North Vermillion Community School Corporation
8020,South Vermillion Community School Corporation,School Corporation,"PO Box 387, Clinton, IN, 47842",Vermillion,"c(-87.4405786, 39.7268394)",South Vermillion Community School Corporation
8030,Vigo County School Corporation,School Corporation,"PO Box 3703, Terre Haute, IN, 47803",Vigo,"c(-87.4207518, 39.4165382)",Vigo County School Corporation
8045,Manchester Community Schools,School Corporation,"404 W Ninth St, N Manchester, IN, 46962",Wabash,"c(-85.7758999, 41.009895)",Manchester Community Schools
8050,Metropolitan School District Wabash County Schools,School Corporation,"204 N 300 W, Wabash, IN, 46992",Wabash,"c(-85.8492946, 40.8278251)",Wabash County Schools Metropolitan School District
8060,Wabash City Schools,School Corporation,"189 W Market St, Wabash, IN, 46992",Wabash,"c(-85.823625, 40.796447)",Wabash City Schools
8115,Metropolitan School District Warren County,School Corporation,"101 N Monroe St, Williamsport, IN, 47993",Warren,"c(-87.2937518, 40.2872342)",Warren County Metropolitan School District
8130,Warrick County School Corporation,School Corporation,"PO Box 809, Boonville, IN, 47601",Warrick,"c(-87.2618328, 38.0736703)",Warrick County School Corporation
8205,Salem Community Schools,School Corporation,"500 N Harrison St, Salem, IN, 47167",Washington,"c(-86.1054457, 38.6140167)",Salem Community Schools
8215,East Washington School Corporation,School Corporation,"1050 N Eastern School Rd, Pekin, IN, 47165",Washington,"c(-86.0014731, 38.5146014)",East Washington School Corporation
8220,West Washington School Corporation,School Corporation,"8026 W Batt Rd, Campbellsburg, IN, 47108",Washington,"c(-86.2341519, 38.5835549)",West Washington School Corporation
8305,Nettle Creek School Corporation,School Corporation,"297 E Northmarket St, Hagerstown, IN, 47346",Wayne,"c(-85.1583343, 39.9123225)",Nettle Creek School Corporation
8355,Western Wayne Schools,School Corporation,"519 Queen St., Pershing, IN, 47370",Wayne,"c(-85.1373986, 39.8143106)",Western Wayne Schools
8360,Centerville-Abington Community Schools,School Corporation,"115 W South St, Centerville, IN, 47330",Wayne,"c(-84.9977135, 39.8144717)",Centerville-Abington Community Schools
8375,Northeastern Wayne Schools,School Corporation,"PO Box 406, Fountain City, IN, 47341",Wayne,"c(-84.9193082, 39.9317436)",Northeastern Wayne Schools
8385,Richmond Community Schools,School Corporation,"300 Hub Etchison Parkway, Richmond, IN, 47374",Wayne,"c(-84.9020762, 39.8244866)",Richmond Community School Corporation
8425,Southern Wells Community Schools,School Corporation,"9120 S 300 W, Poneto, IN, 46781",Wells,"c(-85.2799676, 40.6082732)",Southern Wells Community Schools
8435,Norwell Community Schools,School Corporation,"312 N Jefferson St, Ossian, IN, 46777",Wells,"c(-85.16588, 40.8827459)",Northern Wells Community Schools
8445,Metropolitan School District Bluffton-Harrison,School Corporation,"805 E Harrison St, Bluffton, IN, 46714",Wells,"c(-85.1271907, 40.7145634)",Bluffton-Harrison Metropolitan School District
8515,North White School Corporation,School Corporation,"402 E Broadway St, Monon, IN, 47959",White,"c(-86.8748551, 40.8687365)",North White School Corporation
8525,Frontier School Corporation,School Corporation,"PO Box 809, Chalmers, IN, 47929",White,"c(-86.8621827, 40.6327966)",Frontier School Corporation
8535,Tri-County School Corporation,School Corporation,"105 N 2nd St, Wolcott, IN, 47995",White,"c(-87.042301, 40.7590605)",Tri-County School Corporation
8565,Twin Lakes School Corporation,School Corporation,"565 S Main St, Monticello, IN, 47960",White,"c(-86.7614859, 40.7379158)",Twin Lakes School Corporation
8625,Smith-Green Community Schools,School Corporation,"222 W Tulley St, Churubusco, IN, 46723",Whitley,"c(-85.3230721, 41.2310371)",Smith-Green Community Schools
8665,Whitley County Consolidated Schools,School Corporation,"107 N Walnut St, Columbia City, IN, 46725",Whitley,"c(-85.4934534, 41.1580538)",Whitley County Consolidated Schools
9022,Paramount School of Excellence Lafayette,School Corporation,"1904 Elmwood Ave, Lafayette, IN, 47904",NA,"c(-86.8761052, 40.427751)",Lafayette School Corporation
0015,Adams Central Community Schools,School Corporation,"222 W Washington St, Monroe, IN, 46772-9436",Adams,"c(-84.9193082, 40.746062)",Adams Central Community Schools
0025,North Adams Community Schools,School Corporation,"625 Stadium Dr, Decatur, IN, 46733",Adams,"c(-84.9193082, 40.8672374)",North Adams Community Schools
0035,South Adams Schools,School Corporation,"1075 Starfire Way, Berne, IN, 46711",Adams,"c(-84.9193082, 40.6246316)",South Adams Schools
0125,Metropolitan School District Southwest Allen County Schools,School Corporation,"4824 Homestead Rd, Fort Wayne, IN, 46814",Allen,"c(-85.2881248, 41.0387344)",Southwest Allen County Metropolitan School District
0225,Northwest Allen County Schools,School Corporation,"13119 Coldwater Rd, Fort Wayne, IN, 46845",Allen,"c(-85.1365144, 41.2044412)",Northwest Allen County Schools
0235,Fort Wayne Community Schools,School Corporation,"1200 S Clinton St, Fort Wayne, IN, 46802",Allen,"c(-85.0649071, 41.1352268)",Fort Wayne Community Schools
0255,East Allen County Schools,School Corporation,"1240 SR 930 E, New Haven, IN, 46774",Allen,"c(-84.8984775, 41.0476016)",East Allen County Schools
0365,Bartholomew Consolidated School Corporation,School Corporation,"1200 Central Ave, Columbus, IN, 47201",Bartholomew,"c(-85.9048034, 39.2111108)",Bartholomew County School Corporation
0370,Flat Rock-Hawcreek School Corporation,School Corporation,"9423 N SR 9, Hope, IN, 47246",Bartholomew,"c(-85.7871663, 39.3068524)",Flat Rock-Hawcreek School Corporation
0395,Benton Community School Corporation,School Corporation,"PO Box 512, Fowler, IN, 47944",Benton,"c(-87.2618328, 40.5617189)",Benton Community School Corporation
0515,Blackford County Schools,School Corporation,"0668 W 200 S, Hartford City, IN, 47348",Blackford,"c(-85.3136218, 40.4992784)",Blackford County Schools
0615,Western Boone County Community School District,School Corporation,"1201 N SR 75, Thorntown, IN, 46071",Boone,"c(-86.6207943, 40.0551854)",Western Boone County Community School Corporation
0630,Zionsville Community Schools,School Corporation,"900 Mulberry St, Zionsville, IN, 46077",Boone,"c(-86.2767995, 39.9831886)",Zionsville Community Schools
0665,Lebanon Community School Corporation,School Corporation,"1810 N Grant St, Lebanon, IN, 46052",Boone,"c(-86.4592091, 40.0503732)",Lebanon Community School Corporation
0670,Brown County School Corporation,School Corporation,"357 E Main St, Nashville, IN, 47448",Brown,"c(-86.1751759, 39.1749729)",Brown County County School Corporation
0750,Carroll Consolidated School Corporation,School Corporation,"2 S 3rd St, Flora, IN, 46929",Carroll,"c(-86.4794359, 40.5202693)",Carroll Consolidated School Corporation
0755,Delphi Community School Corporation,School Corporation,"501 Armory Rd, Delphi, IN, 46923",Carroll,"c(-86.5400674, 40.6236211)",Delphi Community School Corporation
0775,Pioneer Regional School Corporation,School Corporation,"PO Box 577, Royal Center, IN, 46978",Cass,"c(-86.4592091, 40.864111)",Pioneer Regional School Corporation
0815,Lewis Cass Schools,School Corporation,"100 S Main Street, Walton, IN, 46994",Cass,"c(-86.2514139, 40.6627281)",Lewis Cass Schools
0875,Logansport Community School Corporation,School Corporation,"2829 George St, Logansport, IN, 46947",Cass,"c(-86.3295554, 40.7563474)",Logansport Community School Corporation
0935,Borden-Henryville School Corporation,School Corporation,"14312 Railroad St., Memphis, IN, 47143",Clark,"c(-85.7608169, 38.4872222)",Borden-Henryville School Corp
0945,Silver Creek School Corporation,School Corporation,"601 Renz Ave, Sellersburg, IN, 47172",Clark,"c(-85.7564107, 38.397887)",Silver Creek School Corporation
1000,Clarksville Community School Corporation,School Corporation,"502 Little League Blvd, Clarksville, IN, 47129",Clark,"c(-85.7641013, 38.3008943)",Clarksville Community School Corporation
