corp_name,net_xfr_rate,xfr_to,xfr_from,color
Shoals Community School Corporation,-4,6,10,red
Loogootee Community School Corporation,-8,8,16,red
Maconaquah School Corporation,-9,13,26,red
North Miami Community Schools,-0,11,16,red
Oak Hill United School Corporation,28,13,26,black
Peru Community Schools,-8,11,28,red
Richland-Bean Blossom Community School Corporation,-5,8,26,red
Monroe County Community School Corporation,-10,11,42,red
North Montgomery Community School Corporation,-5,6,29,red
South Montgomery Community School Corporation,-7,7,19,red
Crawfordsville Community Schools,1,6,18,black
Monroe-Gregg School District,2,15,24,black
Eminence Community School Corporation,-24,7,16,red
Metropolitan School District Martinsville Schools,-16,31,50,red
Mooresville Consolidated School Corporation,0,26,54,red
North Newton School Corporation,-16,8,17,red
South Newton School Corporation,1,5,11,black
Central Noble Community School Corporation,-1,16,23,red
East Noble School Corporation,-12,14,41,red
West Noble School Corporation,-4,11,26,red
Rising Sun-Ohio County Community,-2,4,12,red
Orleans Community Schools,14,6,16,black
Paoli Community School Corporation,-6,9,20,red
Springs Valley Community School Corporation,2,11,12,black
Spencer-Owen Community Schools,-16,10,31,red
Southwest Parke Community School Corporation,9,6,15,black
Perry Central Community Schools Corporation,30,8,13,black
Cannelton City Schools,-25,4,6,red
Tell City-Troy Township School Corporation,-16,5,11,red
North Central Parke Comm School Corporation,-1,8,20,red
Pike County School Corporation,-16,9,32,red
Metropolitan School District Boone Township,9,18,22,black
Duneland School Corporation,-6,23,42,red
East Porter County School Corporation,2,18,28,black
Porter Township School Corporation,-4,20,31,red
Union Township School Corporation,1,21,23,black
Portage Township Schools,-11,19,61,red
Valparaiso Community Schools,-9,13,49,red
Metropolitan School District Mount Vernon,-17,3,33,red
Metropolitan School District North Posey County Schools,-8,5,20,red
Eastern Pulaski Community School Corporation,3,11,24,black
West Central School Corporation,-4,6,19,red
South Putnam Community Schools,3,10,22,black
North Putnam Community Schools,-14,10,27,red
Cloverdale Community Schools,153,160,23,black
Greencastle Community School Corporation,-7,9,18,red
Union School Corporation,2198,287,17,black
Randolph Southern School Corporation,8,8,12,black
Monroe Central School Corporation,24,12,25,black
Randolph Central School Corporation,-4,9,23,red
Randolph Eastern School Corporation,-6,5,12,red
South Ripley Community School Corporation,-11,13,22,red
Batesville Community School Corporation,1,9,20,black
Jac-Cen-Del Community School Corporation,-2,12,15,red
Milan Community Schools,10,7,19,black
Rush County Schools,-14,9,28,red
John Glenn School Corporation,14,20,33,black
Penn-Harris-Madison School Corporation,1,13,63,black
School City of Mishawaka,-4,33,60,red
South Bend Community School Corporation,-41,11,85,red
Union-North United School Corporation,11,9,38,black
Scott County School District 1,-13,NA,25,red
Scott County School District 2,-4,12,37,red
Shelby Eastern Schools,-11,14,28,red
Northwestern Consolidated School Corporation,15,19,32,black
Southwestern Consolidated School Shelby County,3,11,24,black
Shelbyville Central Schools,-6,27,38,red
North Spencer County School Corporation,-3,8,21,red
South Spencer County School Corporation,-12,2,16,red
Oregon-Davis School Corporation,-25,7,27,red
North Judson-San Pierre School Corporation,-22,7,22,red
Knox Community School Corporation,-4,11,29,red
Fremont Community Schools,7,8,13,black
Hamilton Community Schools,-32,5,15,red
Metropolitan School District Steuben County,-4,7,20,red
Northeast School Corporation,-35,3,12,red
Southwest School Corporation,-4,6,20,red
Switzerland County School Corporation,-7,8,20,red
Lafayette School Corporation,-11,15,38,red
Tippecanoe School Corporation,-11,18,53,red
West Lafayette Community School Corporation,1,8,23,black
Tri-Central Community Schools,19,12,18,black
Tipton Community School Corporation,-9,16,33,red
Union County/Clg Corner Joint School District,4,NA,20,black
Evansville Vanderburgh School Corporation,-17,26,56,red
North Vermillion Community School Corporation,7,7,8,black
South Vermillion Community School Corporation,-8,5,15,red
Vigo County School Corporation,-8,18,35,red
Manchester Community Schools,0,9,20,red
Metropolitan School District Wabash County Schools,17,112,24,black
Wabash City Schools,4,12,20,black
Metropolitan School District Warren County,-6,NA,18,red
Warrick County School Corporation,-10,11,45,red
Salem Community Schools,-15,16,24,red
East Washington School Corporation,-8,11,22,red
West Washington School Corporation,25,15,19,black
Nettle Creek School Corporation,19,18,19,black
Western Wayne Schools,-17,8,19,red
Centerville-Abington Community Schools,31,7,18,black
Northeastern Wayne Schools,41,9,18,black
Richmond Community Schools,-25,8,31,red
Southern Wells Community Schools,26,9,16,black
Norwell Community Schools,3,12,32,black
Metropolitan School District Bluffton-Harrison,5,12,23,black
North White School Corporation,-13,5,16,red
Frontier School Corporation,-4,10,22,red
Tri-County School Corporation,-2,9,13,red
Twin Lakes School Corporation,-1,17,23,red
Smith-Green Community Schools,10,10,24,black
Whitley County Consolidated Schools,-2,16,47,red
