IDOE_SCHOOL_ID,SCHOOL_NAME,PRINCIPAL_TITLE,PRINCIPAL_FIRST_NAME,PRINCIPAL_LAST_NAME,PRINCIPAL_EMAIL,ADDRESS,CITY,STATE,ZIP,COUNTY_NAME,PHONE,FAX,LOW_GRADE,HIGH_GRADE,SCHOOL_HOMEPAGE,lon,lat,coord,type
0046,Whispering Meadow Elementary Sch,NA,Nicole,Veit,nveit@sacs.k12.in.us,415 Mission Hill Dr,Fort Wayne,IN,46804,Allen,(260) 431-2601,(260) 431-2699,PK,05,http://www.sacs.k12.in.us,-85.254628,41.0792975,41.0792975+-85.254628,p
0047,Homestead High School,NA,Susan,Summers,ssummers@sacs.k12.in.us,4310 Homestead Rd,Fort Wayne,IN,46814,Allen,(260) 431-2202,(260) 431-2299,09,12,http://www.sacs.k12.in.us,-85.28614999999999,41.0430292,41.0430292+-85.28615,p
0063,Summit Middle School,NA,Joshua,St John,jstjohn@sacs.k12.in.us,4509 Homestead Rd,Fort Wayne,IN,46814,Allen,(260) 431-2502,(260) 431-2599,06,08,http://www.sacs.k12.in.us,-85.2831112,41.043687,41.043687+-85.2831112,p
0064,Lafayette Meadow School,NA,Jenny,Fedele,jfedele@sacs.k12.in.us,11420 Ernst Rd,Roanoke,IN,46783,Allen,(260) 431-0601,(260) 431-0699,KG,05,http://www.sacs.k12.in.us,-85.29269599999999,40.9954137,40.9954137+-85.292696,p
0067,Woodside Middle School,NA,Jerry,Schillinger,jschillinger@sacs.k12.in.us,"2310 W Hamilton Rd, South",Fort Wayne,IN,46814,Allen,(260) 431-2701,(260) 431-2799,06,08,http://www.sacs.k12.in.us,-85.3115997,41.0641107,41.0641107+-85.3115997,p
0068,Haverhill Elementary School,NA,Ashley,Ransom,aransom@sacs.k12.in.us,4725 Weatherside Run,Fort Wayne,IN,46804,Allen,(260) 431-2901,(260) 431-2999,KG,05,http://www.sacs.k12.in.us,-85.2681944,41.0405725,41.0405725+-85.2681944,p
0071,Deer Ridge Elementary,NA,Jennifer,Sprague,jsprague@sacs.k12.in.us,1515 Scott Rd,Fort Wayne,IN,46814,Allen,(260) 431-0701,(260) 431-0799,KG,05,http://www.sacs.k12.in.us,-85.2738078,41.0700685,41.0700685+-85.2738078,p
0072,Covington Elementary School,NA,Fredric,Graf,fgraf@sacs.k12.in.us,"2430 W Hamilton Rd, South",Fort Wayne,IN,46814,Allen,(260) 431-0501,(260) 431-0599,KG,05,http://www.sacs.k12.in.us,-85.312494,41.0609215,41.0609215+-85.312494,p
0188,eSACS Virtual School,NA,NA,NA,NA,4310 Homestead Rd,Fort Wayne,IN,46814,Allen,(260) 431-2051,NA,06,12,NA,-85.28614999999999,41.0430292,41.0430292+-85.28615,p
0069,Arcola School,Principal,Kathleen,Perfect,Kathleen.Perfect@nacs.k12.in.us,11006 Arcola Rd,Arcola,IN,46704,Allen,(260) 625-3161,(260) 625-3975,KG,05,https://ar.nacs.k12.in.us,-85.2884129,41.1050182,41.1050182+-85.2884129,p
0079,Maple Creek Middle School,Principal,William,Toler,Bill.Toler@nacs.k12.in.us,425 Union Chapel Rd,Fort Wayne,IN,46845,Allen,(260) 338-0802,(260) 338-0369,06,08,https://mc.nacs.k12.in.us,-85.1386991,41.2021811,41.2021811+-85.1386991,p
0087,Hickory Center Elementary School,Principal,Roanne,Marlow,Roanne.Marlow@nacs.k12.in.us,3606 Baird Rd,Fort Wayne,IN,46818,Allen,(260) 637-3758,(260) 637-2081,PK,05,https://hc.nacs.k12.in.us,-85.1941805,41.1856229,41.1856229+-85.1941805,p
0089,Huntertown Elementary School,Principal,Casey,Stansifer,Casey.Stansifer@nacs.k12.in.us,15330 Lima Rd,Huntertown,IN,46748,Allen,(260) 637-3181,(260) 637-8348,KG,05,https://ht.nacs.k12.in.us,-85.1686035,41.2248945,41.2248945+-85.1686035,p
0090,Carroll Middle School,Principal,Brandon,Basham,Brandon.Basham@nacs.k12.in.us,4027 Hathaway Rd,Fort Wayne,IN,46818,Allen,(260) 637-5159,(260) 637-5478,06,08,https://cm.nacs.k12.in.us,-85.1943328,41.2018582,41.2018582+-85.1943328,p
0091,Carroll High School,Principal,Brandon,Bitting,Brandon.Bitting@nacs.k12.in.us,3701 Carroll Rd,Fort Wayne,IN,46818,Allen,(260) 637-3161,(260) 637-8356,09,12,https://ch.nacs.k12.in.us,-85.192605,41.190198,41.190198+-85.192605,p
0092,Perry Hill Elementary School,Principal,Caleb,Miner,Caleb.Miner@nacs.k12.in.us,13121 Coldwater Rd,Fort Wayne,IN,46845,Allen,(260) 637-3158,(260) 637-8347,KG,05,https://ph.nacs.k12.in.us,-85.1355674,41.2045404,41.2045404+-85.1355674,p
0094,Oak View Elementary School,NA,Jamison,Wilkins,jamie.wilkins@nacs.k12.in.us,13123 Coldwater Rd,Fort Wayne,IN,46845,Allen,(260) 637-5117,(260) 637-5055,KG,05,https://ov.nacs.k12.in.us,-85.13732139999999,41.205179,41.205179+-85.1373214,p
0095,Cedar Canyon Elementary School,NA,Courtney,Bailey,Courtney.Bailey@nacs.k12.in.us,15011 Coldwater Rd,Fort Wayne,IN,46845,Allen,(260) 637-6101,(260) 637-6120,PK,05,https://cc.nacs.k12.in.us,-85.13705809999999,41.2229713,41.2229713+-85.1370581,p
0096,Eel River Elementary School,NA,Bradley,Zern,Brad.Zern@nacs.k12.in.us,12723 Bethel Rd,Fort Wayne,IN,46818,Allen,(260) 338-5395,(260) 000-0000,KG,05,https://er.nacs.k12.in.us,-85.19311909999999,41.1997314,41.1997314+-85.1931191,p
0098,Aspen Meadow Elementary School,Principal,Kimberly,Lochmueller,Kim.Lochmueller@nacs.k12.in.us,2650 Hathaway Rd,Fort Wayne,IN,46818,Allen,(260) 338-5345,(260) 338-5346,KG,05,NA,-85.1794482,41.2070791,41.2070791+-85.1794482,p
0145,Allen Co Youth Services Center,Mrs,Sue,Dowling,Sue.Dowling@nacs.k12.in.us,11805 Lima Rd,Fort Wayne,IN,46818,Allen,(260) 449-3561,(260) 449-7943,01,12,http://www.allencounty.us/government/law-justice/youth-services-center,-85.16816519999999,41.1903359,41.1903359+-85.1681652,p
0093,Anthis Career Center,NA,Sandra,Adams,sandra.adams@fwcs.k12.in.us,1200 S Barr St,Fort Wayne,IN,46802,Allen,(260) 467-1005,(260) 467-1186,06,12,http://fwcscareeracademy.fwcs.k12.in.us/,-85.1357817,41.0746579,41.0746579+-85.1357817,p
0100,Allen Co Juvenile Center,Ms,Liz,Bryan,Elizabeth.Bryan@fwcs.k12.in.us,2929 N Wells,Fort Wayne,IN,46808,Allen,(260) 449-8068,(260) 449-8429,KG,12,http://acjc.us/,-85.14822,41.1039581,41.1039581+-85.14822,p
0101,North Side High School,NA,David,West Jr,david.west@fwcs.k12.in.us,475 E State St,Fort Wayne,IN,46805,Allen,(260) 467-2800,(260) 467-2690,09,12,http://northside.fortwayneschools.org/,-85.1354575,41.0975724,41.0975724+-85.1354575,p
0102,R Nelson Snider High School,NA,Chad,Hissong,chad.hissong@fwcs.k12.in.us,4600 Fairlawn Pass,Fort Wayne,IN,46815,Allen,(260) 467-4600,(260) 467-4729,09,12,http://snider.fortwayneschools.org/,-85.08243139999999,41.1077269,41.1077269+-85.0824314,p
0105,South Side High School,NA,Zachary,Harl,zachary.harl@fwcs.k12.in.us,3601 S Calhoun St,Fort Wayne,IN,46807,Allen,(260) 467-2600,(260) 467-2663,09,12,http://southside.fortwayneschools.org/,-85.1362681,41.0525503,41.0525503+-85.1362681,p
0107,Blackhawk Middle School,NA,Virgil,Griffin,VIRGIL.GRIFFIN@FWCS.K12.IN.US,7200 E State Blvd,Fort Wayne,IN,46815,Allen,(260) 467-4885,(260) 467-4943,06,08,http://blackhawk.fortwayneschools.org/,-85.0488591,41.105503,41.105503+-85.0488591,p
0118,Jeff H Towles Intermediate School,NA,Jennifer,Witzigreuter,jennifer.witzigreuter@fwcs.k12.in.us,420 E Paulding Rd,Fort Wayne,IN,46815,Allen,(260) 467-4300,(260) 467-4364,01,08,https://towles.fortwayneschools.org/,-85.1302104,41.0305129,41.0305129+-85.1302104,p
0119,Jefferson Middle School,NA,Nickolas,Sharin,nickolas.sharin@fwcs.k12.in.us,5303 Wheelock Rd,Fort Wayne,IN,46835,Allen,(260) 467-4825,(260) 467-4883,06,08,http://jefferson.fortwayneschools.org/,-85.0251383,41.1311714,41.1311714+-85.0251383,p
0121,Kekionga Middle School,NA,Trisha,Brooks,trisha.brooks@fwcs.k12.in.us,2929 Engle Rd,Fort Wayne,IN,46809,Allen,(260) 467-6600,(260) 467-6658,06,08,http://kekionga.fortwayneschools.org/,-85.1765566,41.0450265,41.0450265+-85.1765566,p
0125,Lakeside Middle School,NA,Ashley,Finneran,ashley.finneran@fwcs.k12.in.us,2100 Lake Ave,Fort Wayne,IN,46805,Allen,(260) 467-8625,(260) 467-8672,06,08,http://lakeside.fortwayneschools.org/,-85.1106121,41.089073,41.089073+-85.1106121,p
0126,Lane Middle School,NA,Matthew,Haren,matthew.haren@fwcs.k12.in.us,4901 Vance Ave,Fort Wayne,IN,46815,Allen,(260) 467-4400,(260) 467-4437,06,08,https://lane.fortwayneschools.org/,-85.07878099999999,41.106237,41.106237+-85.078781,p
0127,Memorial Park Middle School,NA,Bradley,Crozier,bradley.crozier@fwcs.k12.in.us,2200 Maumee Ave,Fort Wayne,IN,46803,Allen,(260) 467-5300,(260) 467-5298,06,08,http://memorialpark.fortwayneschools.org/,-85.1089787,41.0750216,41.0750216+-85.1089787,p
0128,Miami Middle School,NA,Shane,Crager,shane.crager@fwcs.k12.in.us,8100 Amherst Dr,Fort Wayne,IN,46819,Allen,(260) 467-8560,(260) 467-8606,06,08,http://miami.fortwayneschools.org/,-85.1632231,41.0098922,41.0098922+-85.1632231,p
0129,Northwood Middle School,NA,Lindsey,Baumgartner,lindsey.baumgartner@fwcs.k12.in.us,1201 E Wash Ctr Rd,Fort Wayne,IN,46825,Allen,(260) 467-2930,(260) 467-2987,06,08,https://northwood.fortwayneschools.org/,-85.1253265,41.1337947,41.1337947+-85.1253265,p
0133,Portage Middle School,NA,Michael,Christner,michael.christner@fwcs.k12.in.us,3521 Taylor St,Fort Wayne,IN,46802,Allen,(260) 467-4500,(260) 467-4497,06,08,https://portage.fortwayneschools.org/,-85.1872236,41.0665336,41.0665336+-85.1872236,p
0134,Weisser Park Elementary School,NA,Melissa,Plumb,melissa.plumb@fwcs.k12.in.us,902 Colerick St,Fort Wayne,IN,46806,Allen,(260) 467-8875,(260) 467-8924,01,05,http://weisserpark.fortwayneschools.org/,-85.1247863,41.0568917,41.0568917+-85.1247863,p
0136,Fairfield Elementary School,NA,Amanda,Henderson,amanda.henderson@fwcs.k12.in.us,2825 Fairfield Ave,Fort Wayne,IN,46807,Allen,(260) 467-5900,(260) 467-5953,PK,05,https://fairfield.fortwayneschools.org/,-85.14412820000001,41.0590641,41.0590641+-85.1441282,p
0137,Merle J Abbett Elementary School,NA,Franklin,Kline,franklin.kline@fwcs.k12.in.us,4325 Smith St,Fort Wayne,IN,46806,Allen,(260) 467-5800,(260) 467-5833,PK,05,https://abbett.fortwayneschools.org/,-85.1205179,41.0450702,41.0450702+-85.1205179,p
0141,Adams Elementary School,NA,Allison,Holland,allison.holland@fwcs.k12.in.us,3000 New Haven Ave,Fort Wayne,IN,46803,Allen,(260) 467-5850,(260) 467-5881,PK,05,https://adams.fortwayneschools.org/,-85.09950060000001,41.0683808,41.0683808+-85.0995006,p
0149,Bloomingdale Elementary School,NA,Jennifer,Evans,jennifer.evans@fwcs.k12.in.us,1300 Orchard St,Fort Wayne,IN,46808,Allen,(260) 467-6700,(260) 467-6748,PK,05,http://bloomingdale.fortwayneschools.org/,-85.14706799999999,41.086403,41.086403+-85.147068,p
0151,Bunche Elementary School,NA,Tamara,Mullins,tamara.mullins@fwcs.k12.in.us,1111 Greene St,Fort Wayne,IN,46803,Allen,(260) 467-4790,(260) 467-4816,PK,KG,http://bunche.fortwayneschools.org/,-85.1224343,41.0666438,41.0666438+-85.1224343,p
0153,Brentwood Elementary School,NA,Matthew,Meighen,matthew.meighen@fwcs.k12.in.us,3710 Stafford Dr,Fort Wayne,IN,46805,Allen,(260) 467-6775,(260) 467-6848,PK,05,http://brentwood.fortwayneschools.org/,-85.0921242,41.0991521,41.0991521+-85.0921242,p
0154,Fred H Croninger Elementary School,NA,Rachel,Merz,rachel.merz@fwcs.k12.in.us,6700 Trier Rd,Fort Wayne,IN,46815,Allen,(260) 467-6050,(260) 467-6091,KG,05,https://croninger.fortwayneschools.org/,-85.0547632,41.1127444,41.1127444+-85.0547632,p
0157,Forest Park Elementary School,NA,Sara,Wertman,sara.wertman@fwcs.k12.in.us,2004 Alabama Ave,Fort Wayne,IN,46805,Allen,(260) 467-6850,(260) 467-6923,PK,05,https://forestpark.fortwayneschools.org/,-85.12048949999999,41.09403289999999,41.0940329+-85.1204895,p
0161,Franke Park Elementary School,NA,Andrea,Larkey,ANDREA.LARKEY@FWCS.K12.IN.US,828 Mildred Ave,Fort Wayne,IN,46808,Allen,(260) 467-6925,(260) 467-6998,PK,05,http://frankepark.fortwayneschools.org/,-85.1535312,41.1025003,41.1025003+-85.1535312,p
0162,Glenwood Park Elementary School,NA,Derek,Leininger,derek.leininger@fwcs.k12.in.us,4501 Vance Ave,Fort Wayne,IN,46815,Allen,(260) 467-6200,(260) 467-6237,KG,05,http://glenwoodpark.fortwayneschools.org/,-85.08397269999999,41.1059874,41.1059874+-85.0839727,p
0164,J Wilbur Haley Elementary School,NA,Charles,Howard,c.brian.howard@fwcs.k12.in.us,2201 Maplecrest Rd,Fort Wayne,IN,46815,Allen,(260) 467-4510,(260) 467-4558,PK,05,https://haley.fortwayneschools.org/,-85.0617424,41.0987585,41.0987585+-85.0617424,p
0177,Wayne High School,NA,John,Houser,john.houser@fwcs.k12.in.us,9100 Winchester Rd,Fort Wayne,IN,46819,Allen,(260) 467-6400,(260) 467-6490,09,12,http://wayne.fortwayneschools.org/,-85.140329,41.0016527,41.0016527+-85.140329,p
0178,Harrison Hill Elementary School,NA,Shannon,Rodgers,shannon.rodgers@fwcs.k12.in.us,355 S Cornell Cir,Fort Wayne,IN,46807,Allen,(260) 467-7000,(260) 467-7073,PK,05,https://harrisonhill.fortwayneschools.org/,-85.1425849,41.0447816,41.0447816+-85.1425849,p
0186,Mabel K Holland Elementary School,NA,Stacey,Schortgen,stacey.schortgen@fwcs.k12.in.us,7000 Red Haw Dr,Fort Wayne,IN,46825,Allen,(260) 467-7075,(260) 467-7148,PK,05,https://holland.fortwayneschools.org/,-85.1165718,41.1440932,41.1440932+-85.1165718,p
0189,Indian Village Elementary School,NA,Kara,Miller,kara.miller@fwcs.k12.in.us,3835 Wenonah Ln,Fort Wayne,IN,46809,Allen,(260) 467-5200,(206) 467-5237,PK,05,http://indianvillage.fortwayneschools.org/,-85.17588219999999,41.0504964,41.0504964+-85.1758822,p
0193,John S Irwin Elementary School,NA,Mary,Kinniry,mary.kinniry@fwcs.k12.in.us,3501 S Anthony Blvd,Fort Wayne,IN,46806,Allen,(260) 467-5310,(260) 467-5341,KG,05,http://irwin.fortwayneschools.org/,-85.1128598,41.0533522,41.0533522+-85.1128598,p
0197,Lindley Elementary School,NA,Jennifer,Nickell,jennifer.nickell@fwcs.k12.in.us,2201 Ardmore Ave,Fort Wayne,IN,46802,Allen,(260) 467-5350,(260) 467-5384,PK,05,http://lindley.fortwayneschools.org/,-85.1892831,41.06507939999999,41.0650794+-85.1892831,p
0205,Maplewood Elementary School,NA,Alexandra,Trevino,alexandra.trevino@fwcs.k12.in.us,2200 Maplewood Rd,Fort Wayne,IN,46819,Allen,(260) 467-7150,(260) 467-7223,PK,05,http://maplewood.fortwayneschools.org/,-85.16489570000002,41.0148321,41.0148321+-85.1648957,p
0209,Willard Shambaugh Elementary Sch,NA,Neil,Rupp,neil.rupp@fwcs.k12.in.us,5320 Rebecca Dr,Fort Wayne,IN,46835,Allen,(260) 467-6150,(260) 467-6187,KG,05,http://shambaugh.fortwayneschools.org/,-85.0727775,41.1533681,41.1533681+-85.0727775,p
0217,Northcrest Elementary School,NA,Lindsay,Amstutz,lindsay.amstutz@fwcs.k12.in.us,5301 Archwood Ln,Fort Wayne,IN,46825,Allen,(260) 467-5450,(260) 467-5486,PK,05,http://northcrest.fortwayneschools.org/,-85.1316595,41.1265346,41.1265346+-85.1316595,p
0219,Northrop High School,NA,Adam,Swinford,adam.swinford@fwcs.k12.in.us,7001 Coldwater Rd,Fort Wayne,IN,46825,Allen,(260) 467-2300,(260) 467-2301,09,12,http://northrop.fortwayneschools.org/,-85.1393406,41.1457583,41.1457583+-85.1393406,p
0221,Francis M Price Elementary School,NA,Benjamin,Hartman,benjamin.hartman@fwcs.k12.in.us,1901 W State St,Fort Wayne,IN,46808,Allen,(260) 467-4950,(260) 467-4994,PK,05,http://price.fortwayneschools.org/,-85.1692253,41.0952942,41.0952942+-85.1692253,p
0233,Saint Joseph Central School,NA,Susanne,Tieman,susanne.tieman@fwcs.k12.in.us,6341 St Joe Ctr Rd,Fort Wayne,IN,46835,Allen,(260) 467-6100,(260) 467-6135,KG,05,http://stjosephcentral.fortwayneschools.org/,-85.06027519999999,41.1357292,41.1357292+-85.0602752,p
0239,Robert C Harris Elementary School,NA,Courtney,Gremaux,courtney.gremaux@fwcs.k12.in.us,4501 Thorngate Dr,Fort Wayne,IN,46835,Allen,(260) 467-6300,(260) 467-6338,KG,05,https://harris.fortwayneschools.org/,-85.0848244,41.1262311,41.1262311+-85.0848244,p
0240,Shawnee Middle School,NA,David,Tijerina Jr,david.tijerina@fwcs.k12.in.us,1000 E Cook Rd,Fort Wayne,IN,46825,Allen,(260) 467-6525,(260) 467-6527,06,08,http://shawnee.fortwayneschools.org/,-85.1284228,41.146794,41.146794+-85.1284228,p
0241,Whitney M Young Early Childhood,NA,Claire,Paul,claire.paul@fwcs.k12.in.us,1026 E Pontiac St,Fort Wayne,IN,46803,Allen,(260) 467-8950,(260) 467-8972,PK,KG,https://young.fortwayneschools.org/,-85.1235662,41.05946,41.05946+-85.1235662,p
0248,Fort Wayne Virtual Academy,NA,Sarah,Belcher,SARAH.BELCHER@FWCS.K12.IN.US,1200 S Clinton St,Fort Wayne,IN,46802,Allen,(260) 467-7550,NA,04,12,https://virtualacademy.fortwayneschools.org/,-85.13779989999999,41.074349,41.074349+-85.1377999,p
0249,Levan R Scott Academy,NA,Carolyn,Kennedy,carrie.kennedy@fwcs.k12.in.us,950 E Fairfax Ave,Fort Wayne,IN,46806,Allen,(260) 467-8050,(260) 467-8077,PK,05,https://levanscott.fortwayneschools.org/,-85.12382690000001,41.0363253,41.0363253+-85.1238269,p
0253,South Wayne Elementary School,NA,Brenda,Edwards-West,brenda.west@fwcs.k12.in.us,810 Cottage Ave,Fort Wayne,IN,46807,Allen,(260) 467-8100,(260) 467-8134,PK,05,http://southwayne.fortwayneschools.org/,-85.1486024,41.0580364,41.0580364+-85.1486024,p
0257,Study Elementary School,NA,Elizabeth,Kleber,elizabeth.kleber@fwcs.k12.in.us,2414 Brooklyn Ave,Fort Wayne,IN,46802,Allen,(260) 467-8500,(260) 467-8532,PK,05,http://study.fortwayneschools.org/,-85.1663154,41.0625183,41.0621456+-85.1675118,p
0265,Washington Elementary School,NA,Danene,Neff,danene.neff@fwcs.k12.in.us,1015 W Wash Blvd,Fort Wayne,IN,46802,Allen,(260) 467-8150,(260) 467-8178,PK,05,https://washington.fortwayneschools.org/,-85.1523931,41.074836,41.074836+-85.1523931,p
0269,Washington Center Elementary Sch,NA,Keith,Goldfuss,keith.goldfuss@fwcs.k12.in.us,1936 W Wallen Rd,Fort Wayne,IN,46818,Allen,(260) 467-6250,(260) 467-6252,PK,05,http://washingtoncenter.fortwayneschools.org/,-85.1695636,41.1620088,41.1620088+-85.1695636,p
0270,Lincoln Elementary School,NA,John,Ankenbruck,john.ankenbruck@fwcs.k12.in.us,1001 E Cook Rd,Fort Wayne,IN,46825,Allen,(260) 467-5400,(260) 467-5441,KG,05,https://lincoln.fortwayneschools.org/,-85.12767559999999,41.1484015,41.1484015+-85.1276756,p
0273,Waynedale Elementary School,NA,Kristee,Hoffner,kristee.hoffner@fwcs.k12.in.us,7201 Elzey,Fort Wayne,IN,46809,Allen,(260) 467-8820,(260) 467-8852,PK,05,https://waynedale.fortwayneschools.org/,-85.17293640000001,41.0171172,41.0171172+-85.1729364,p
0275,Arlington Elementary School,NA,Nicholas,Kirby,nicholas.kirby@fwcs.k12.in.us,8118 St Jo Ctr Rd,Fort Wayne,IN,46835,Allen,(260) 467-6000,(260) 467-6043,KG,05,https://arlington.fortwayneschools.org/,-85.0387727,41.13489020000001,41.1348902+-85.0387727,p
0043,Prince Chapman Academy,NA,Renee,Hutter,rhutter@eacs.k12.in.us,4808 E paulding Rd,Fort Wayne,IN,46816,Allen,(260) 446-0270,(260) 446-0275,03,06,http://pca.eacs.k12.in.us/,-85.07545480000002,41.030617,41.030617+-85.0754548,p
0049,Leo Junior/Senior High School,NA,Tim,Wiegand,twiegand@eacs.k12.in.us,14600 Amstutz Rd,Leo,IN,46765,Allen,(260) 446-0180,(260) 446-0189,07,12,http://www.eacs.k12.in.us,-85.01783139999999,41.2200577,41.2200577+-85.0178314,p
0053,Leo Elementary School,NA,Michelle,Rodgers,mrodgers@eacs.k12.in.us,14811 Wayne St,Leo,IN,46765,Allen,(260) 446-0170,(260) 446-0173,04,06,http://www.eacs.k12.in.us,-85.0133556,41.2225998,41.2225998+-85.0133556,p
0081,Heritage Jr/Sr High School,NA,Rebecca,Christensen,rchristensen@eacs.k12.in.us,13608 Monroeville Rd,Monroeville,IN,46773,Allen,(260) 446-0140,(260) 446-0146,07,12,http://www.eacs.k12.in.us,-84.96250700000002,40.975684,40.975684+-84.962507,p
0083,New Haven Primary School,NA,G Michael,Chen,mchen@eacs.k12.in.us,1445 Berwick Ln,New Haven,IN,46774,Allen,(260) 446-0150,(260) 446-0153,PK,02,http://www.eacs.k12.in.us,-85.0072653,41.0622574,41.0622574+-85.0072653,p
0281,Heritage Elementary School,NA,Stephen,Walter,swalter@eacs.k12.in.us,12050 Houk Rd,Monroeville,IN,46773,Allen,(260) 446-0160,(260) 446-0163,KG,06,http://www.eacs.k12.in.us,-84.9622471,40.9761966,40.9761966+-84.9622471,p
0285,Woodlan Jr/Sr High School,NA,Tim,Wiegand,twiegand@eacs.k12.in.us,17215 Woodburn Rd,Woodburn,IN,46797,Allen,(260) 446-0290,(260) 446-0298,07,12,http://www.eacs.k12.in.us,-84.9191926,41.1235666,41.1235666+-84.9191926,p
0291,Cedarville Elementary School,NA,Renita,Peters,rpeters@eacs.k12.in.us,12225 Hardisty Rd,Fort Wayne,IN,46845,Allen,(260) 446-0110,(260) 446-0113,KG,03,http://www.eacs.k12.in.us,-85.0498123,41.1952655,41.1952655+-85.0498123,p
0294,Paul Harding Jr High School,NA,Charles,Washington,cwashington@eacs.k12.in.us,6501 Wayne Trace,Ft Wayne,IN,46816,Allen,(260) 446-0240,(260) 446-0249,07,08,http://phj.eacs.k12.in.us/,-85.0747775,41.0275738,41.0275738+-85.0747775,p
0297,New Haven Jr/Sr High School,NA,Patricia,Meadows,pmeadows@eacs.k12.in.us,1300 Green Rd,New Haven,IN,46774,Allen,(260) 446-0220,(260) 446-0228,07,12,http://www.eacs.k12.in.us,-85.0121387,41.0652957,41.0652957+-85.0121387,p
0305,New Haven Intermediate School,NA,Mandy,Baker,mbaker@eacs.k12.in.us,1065 Woodmere Dr,New Haven,IN,46774,Allen,(260) 446-0190,(260) 446-0193,03,06,http://www.eacs.k12.in.us,-85.03284610000001,41.063597,41.063597+-85.0328461,p
0310,Southwick Elementary School,NA,Megan,Cripe,mcripe@eacs.k12.in.us,6500 Wayne Trace,Fort Wayne,IN,46816,Allen,(260) 446-0250,(260) 446-0253,PK,02,http://www.eacs.k12.in.us,-85.0792677,41.0262996,41.0262996+-85.0792677,p
0318,EACS Early Childhood Preschool,NA,G Michael,Chen,mchen@eacs.k12.in.us,1445 Berwick Lane,New Haven,IN,46774,Allen,(260) 446-0120,(260) 446-0126,PK,PK,http://www.eacs.k12.in.us,-85.0072653,41.0622574,41.0622574+-85.0072653,p
0323,Woodlan Elementary School,NA,Joseph,Rodgers,jrodgers@eacs.k12.in.us,17117 Woodburn Road,Woodburn,IN,46797,Allen,(260) 446-0100,(000) 000-0000,KG,06,http://wes.eacs.k12.in.us/,-84.9203764,41.1235943,41.1235943+-84.9203764,p
0394,East Allen University,NA,Tim,Wiegand,twiegand@eacs.k12.in.us,6501 Wayne Trace,Fort Wayne,IN,46816,Allen,(260) 446-0240,(260) 446-0249,09,12,http://eau.eacs.k12.in.us/,-85.0747775,41.0275738,41.0275738+-85.0747775,p
