corp_id,corp_name,schl_id,schl_name,bio_prof_pct
3005,Hamilton Southeastern Schools,2499,Hamilton Southeastern HS,0.428
3025,Hamilton Heights School Corp,2477,Hamilton Heights High School,0.364
3030,Westfield-Washington Schools,2493,Westfield High School,0.597
3055,Sheridan Community Schools,2463,Sheridan High School,0.337
3060,Carmel Clay Schools,2505,Carmel High School,0.606
3070,Noblesville Schools,2517,Noblesville High School,0.376
3115,Southern Hancock Co Com Sch Corp,2565,New Palestine High School,0.41
3115,Southern Hancock Co Com Sch Corp,2566,New Palestine Jr High School,0.794
3125,Greenfield-Central Com Schools,2579,Greenfield Central Junior High Sch,0.903
3125,Greenfield-Central Com Schools,2595,Greenfield-Central High School,0.207
3135,Mt Vernon Community School Corp,2569,Mt Vernon High School,0.57
3145,Eastern Hancock Co Com Sch Corp,2585,Eastern Hancock High School,0.223
3160,Lanesville Community School Corp,2613,Lanesville Jr-Sr HS,0.239
3180,North Harrison Com School Corp,2629,North Harrison High School,0.259
3190,South Harrison Com Schools,2640,Corydon Central High School,0.309
3190,South Harrison Com Schools,2670,South Central Jr & Sr High School,0.429
3295,North West Hendricks Schools,2682,Tri-West Middle School,0.943
3295,North West Hendricks Schools,2731,Tri-West Senior High School,0.25
3305,Brownsburg Community School Corp,2709,Brownsburg High School,0.558
3305,Brownsburg Community School Corp,2713,Brownsburg West Middle School,1
3305,Brownsburg Community School Corp,2720,Brownsburg East Middle School,1
3315,Avon Community School Corp,2730,Avon Middle School North,0.963
3315,Avon Community School Corp,2736,Avon Middle School South,1
3315,Avon Community School Corp,2737,Avon High School,0.313
3325,Danville Community School Corp,2741,Danville Community High School,0.36
3325,Danville Community School Corp,2743,Danville Middle School,0.667
3330,Plainfield Community School Corp,2749,Plainfield High School,0.336
3330,Plainfield Community School Corp,2750,Plainfield Community Middle School,0.861
3335,Mill Creek Community Sch Corp,2692,Cascade Senior High School,0.554
3405,Blue River Valley Schools,2801,Blue River Valley Jr-Sr High Sch,0.205
3415,South Henry School Corp,2773,Tri Junior-Senior High School,0.14
3435,Shenandoah School Corporation,2817,Shenandoah High School,0.234
3445,New Castle Community School Corp,2810,New Castle Schools at the Hoosier Youth Challenge Academy,NA
3445,New Castle Community School Corp,2825,New Castle High School,0.263
3455,C A Beard Memorial School Corp,2869,Knightstown High School,0.272
3460,Taylor Community School Corp,2894,Taylor High School,0.19
3470,Northwestern School Corp,2897,Northwestern Senior High School,0.377
3480,Eastern Howard School Corporation,2919,Eastern High School,0.41
3490,Western School Corporation,2921,Western High School,0.411
3500,Kokomo School Corporation,2955,Central Middle School,0.31
3500,Kokomo School Corporation,3013,Kokomo High School,0.106
3625,Huntington Co Com Sch Corp,3065,Huntington North High School,0.313
3675,Seymour Community Schools,3133,Seymour Senior High School,0.194
3695,Brownstown Cnt Com Sch Corp,3126,Brownstown Central High School,0.3
3710,Crothersville Community Schools,3121,Crothersville Jr-Sr High School,0.216
3785,Kankakee Valley School Corp,3181,Kankakee Valley High School,0.296
3815,Rensselaer Central School Corp,3201,Rensselaer Central High School,0.071
3815,Rensselaer Central School Corp,3221,Rensselaer Middle School,0.739
3945,Jay School Corporation,3239,Jay County Jr/Sr High School,0.193
3995,Madison Consolidated Schools,3309,Madison Consolidated High School,0.21
4000,Southwestern-Jefferson Co Con,3337,Southwestern High School,0.238
4015,Jennings County School Corporation,3345,Jennings County High School,0.14
4145,Clark-Pleasant Community Sch Corp,3421,Whiteland Community High School,0.177
4205,Center Grove Community School Corp,3437,Center Grove High School,0.414
4205,Center Grove Community School Corp,3441,Center Grove Middle School Central,0.972
4205,Center Grove Community School Corp,3443,Center Grove Middle School North,1
4215,Edinburgh Community School Corp,3447,Edinburgh Community High School,0.328
4225,Franklin Community School Corp,3445,Franklin Community High School,0.286
4245,Greenwood Community Sch Corp,3473,Greenwood Community High Sch,0.324
4255,Nineveh-Hensley-Jackson United,3419,Indian Creek Sr High School,0.261
4315,North Knox School Corp,3537,North Knox Jr-Sr High School,0.218
4325,South Knox School Corp,3490,South Knox Middle-High School,0.23
4335,Vincennes Community School Corp,3553,Lincoln High School,0.139
4335,Vincennes Community School Corp,4319,Washington Learning Academy,0
4345,Wawasee Community School Corp,3639,Wawasee High School,0.34
4415,Warsaw Community Schools,3607,Lakeview Middle School,0.975
4415,Warsaw Community Schools,3647,Warsaw Community High School,0.206
4415,Warsaw Community Schools,3653,Edgewood Middle School,0.848
4445,Tippecanoe Valley School Corp,3602,Tippecanoe Valley High School,0.189
4445,Tippecanoe Valley School Corp,3619,Tippecanoe Valley Middle School,0.469
4455,Whitko Community School Corp,9191,Whitko Jr/Sr High School,0.093
4515,Prairie Heights Community Sch Corp,3690,Prairie Heights Sr High School,0.345
4525,Westview School Corporation,3697,Westview Jr-Sr High School,0.388
4535,Lakeland School Corporation,3730,Lakeland Jr/Sr High School,0.22
4580,Hanover Community School Corp,3785,Hanover Central High School,0.402
4590,River Forest Community Sch Corp,3791,River Forest High School,0.132
4600,Merrillville Community School Corp,3809,Merrillville High School,0.152
4615,Lake Central School Corporation,3833,Lake Central High School,0.43
4645,Tri-Creek School Corporation,3865,Lowell Senior High School,0.435
4650,Lake Ridge New Tech Schools,3869,Calumet New Tech High School,0.023
4660,Crown Point Community School Corp,3761,Robert Taft Middle School,0.925
4660,Crown Point Community School Corp,3901,Crown Point High School,0.354
4660,Crown Point Community School Corp,3915,Colonel John Wheeler Middle School,0.889
4670,School City of East Chicago,3924,East Chicago Central High School,0.049
4680,Lake Station Community Schools,3965,Thomas A Edison Jr-Sr HS,0.058
4690,Gary Community School Corp,4163,West Side Leadership Academy,0.013
4700,Griffith Public Schools,4173,Griffth Jr/Sr High School,0.165
4710,School City of Hammond,4415,Hammond Central High School,0.016
4710,School City of Hammond,4417,Morton Senior High School,0.026
4710,School City of Hammond,4425,Henry W Eggers Middle School,0.159
4710,School City of Hammond,4433,Charles N Scott Middle School,0.125
4720,School Town of Highland,4281,Highland High School,0.18
4730,School City of Hobart,4305,Hobart High School,0.125
4730,School City of Hobart,4309,Hobart Middle School,0.444
4740,School Town of Munster,4332,Munster High School,0.367
4740,School Town of Munster,4333,Wilbur Wright Middle School,1
4760,School City of Whiting,4353,Whiting High School,0.051
4805,New Prairie United School Corp,4689,New Prairie High School,0.398
4860,MSD of New Durham Township,4701,Westville High School,0.272
4915,Tri-Township Cons School Corp,4692,Tri-Township Jr.-Sr. High School,0.136
4925,Michigan City Area Schools,4788,Martin T Krueger Middle School,0.348
4925,Michigan City Area Schools,4795,Michigan City High School,0.076
4940,South Central Com School Corp,4737,South Central Jr-Sr High School,0.268
4945,LaPorte Community School Corp,4741,LaPorte High School,0.242
5075,North Lawrence Com Schools,4911,Bedford-North Lawrence High School,0.266
5085,Mitchell Community Schools,4925,Mitchell High School,0.14
5245,Frankton-Lapel Community Schools,5005,Frankton Jr-Sr High School,0.317
5245,Frankton-Lapel Community Schools,5011,Lapel Sr High School,0.402
5255,South Madison Com Sch Corp,5053,Pendleton Heights High School,0.393
5265,Alexandria Community School Corp,5041,Alexandria-Monroe High School,0.123
5275,Anderson Community School Corp,4906,COMPASS Alternative School,0
5275,Anderson Community School Corp,4945,Anderson High School,0.083
5275,Anderson Community School Corp,5076,Highland Middle School,0.492
5280,Elwood Community School Corp,5149,Elwood Jr-Sr High School,0.17
5300,MSD Decatur Township,5177,Decatur Central High School,0.074
5300,MSD Decatur Township,5181,Decatur Middle School,0.783
5310,Franklin Township Com Sch Corp,5193,Franklin Central High School,0.328
5330,MSD Lawrence Township,5275,Lawrence Central High School,0.081
5330,MSD Lawrence Township,5276,Lawrence North High School,0.1
5330,MSD Lawrence Township,5277,Belzer Middle School,0.743
5330,MSD Lawrence Township,5291,Fall Creek Valley Middle School,0.409
5340,Perry Township Schools,5307,Perry Meridian High School,0.343
5340,Perry Township Schools,5309,Southport High School,0.173
5350,MSD Pike Township,5353,Pike High School,0.194
5360,MSD Warren Township,5361,Warren Central High School,0.088
5360,MSD Warren Township,5379,Warren Online Academy,0.051
5370,MSD Washington Township,5442,Eastwood Middle School,0.774
5370,MSD Washington Township,5445,Northview Middle School,0.66
5370,MSD Washington Township,5448,Westlane Middle School,0.344
5370,MSD Washington Township,5451,North Central High School,0.369
5375,MSD Wayne Township,5213,Ben Davis High School,0.011
5375,MSD Wayne Township,5219,Ben Davis Ninth Grade Center,0.04
5375,MSD Wayne Township,5221,Chapel Hill 7th & 8th Grade Center,0.188
5375,MSD Wayne Township,5222,Lynhurst 7th & 8th Grade Center,0.549
5375,MSD Wayne Township,5271,Sanders School,NA
5375,MSD Wayne Township,5288,Achieve Virtual Education Academy,0.15
5380,Beech Grove City Schools,5449,Beech Grove Sr High School,0.151
5385,Indianapolis Public Schools,0109,Thrival Academy,0.088
5385,Indianapolis Public Schools,5462,Arsenal Technical High School,0.031
5385,Indianapolis Public Schools,5467,HW Longfellow Med/STEM Magnet Midl,0.2
5385,Indianapolis Public Schools,5474,Crispus Attucks High School,0.01
5385,Indianapolis Public Schools,5492,Shortridge High School,0.069
5385,Indianapolis Public Schools,5577,Merle Sidener Gifted Academy,0.25
5385,Indianapolis Public Schools,5644,George Washington High School,0.009
5390,Southside Sp Srvs Of Marion Co,5320,RISE Learning Center,NA
5400,School Town of Speedway,5891,Speedway Senior High School,0.48
5455,Culver Community Schools Corp,5245,Culver Community Middle/High Sch,0.206
5470,Argos Community Schools,5937,Argos Comm Jr-Sr High School,0.357
5480,Bremen Public Schools,5941,Bremen Senior High School,0.259
5485,Plymouth Community School Corp,5945,Plymouth High School,0.231
5495,Triton School Corporation,5923,Triton Jr-Sr High School,0.475
5520,Shoals Community School Corp,5985,Shoals Community High School,0.143
5525,Loogootee Community Sch Corp,6003,Loogootee High School,0.538
5615,Maconaquah School Corp,6032,Maconaquah High School,0.248
5620,North Miami Community Schools,6049,North Miami Middle/High School,0.394
5625,Oak Hill United School Corp,6069,Oak Hill High School,0.25
5635,Peru Community Schools,6085,Peru Jr/Sr High School,0.271
5705,Richland-Bean Blossom C S C,6146,Edgewood High School,0.258
5705,Richland-Bean Blossom C S C,6147,Edgewood Junior High School,NA
5740,Monroe County Community Sch Corp,6166,Bloomington High School South,0.481
5740,Monroe County Community Sch Corp,6168,Bloomington High School North,0.41
5740,Monroe County Community Sch Corp,6202,The Acad of Sci & Entrepreneurship,0.348
5740,Monroe County Community Sch Corp,6220,Bloomington Graduation School,0.038
5835,North Montgomery Com Sch Corp,6271,North Montgomery High School,0.159
5845,South Montgomery Com Sch Corp,6257,Southmont Sr High School,0.44
5855,Crawfordsville Community Schools,6277,Crawfordsville Sr High School,0.294
5900,Monroe-Gregg School District,6321,Monrovia High School,0.212
5910,Eminence Community School Corp,6325,Eminence Jr-Sr High School,0
5925,MSD Martinsville Schools,6329,Martinsville High School,0.172
5925,MSD Martinsville Schools,6332,John R. Wooden Middle School,0.769
5930,Mooresville Con School Corp,6369,Mooresville High School,0.199
5930,Mooresville Con School Corp,6373,Paul Hadley Middle School,0.596
5945,North Newton School Corp,6411,North Newton Jr-Sr High School,0.236
5995,South Newton School Corp,6417,South Newton Senior High School,0.279
6055,Central Noble Com School Corp,6453,Central Noble Junior Senior HS,0.233
6060,East Noble School Corporation,6458,East Noble High School,0.311
6065,West Noble School Corporation,6489,West Noble High School,0.212
6080,Rising Sun-Ohio Co Com,6512,Ohio County Middle School,0.333
6080,Rising Sun-Ohio Co Com,6513,Rising Sun High School,0.074
6145,Orleans Community Schools,6573,Orleans Jr-Sr High School,0.279
6155,Paoli Community School Corp,6581,Paoli Jr & Sr High School,0.185
6160,Springs Valley Com School Corp,6589,Springs Valley Comm High School,0.353
6195,Spencer-Owen Community Schools,6613,Owen Valley Community High School,0.129
6260,Southwest Parke Com Sch Corp,6627,Riverton Parke Jr-Sr High School,0.051
6325,Perry Central Com Schools Corp,6708,Perry Central Jr-Sr High School,0.282
6340,Cannelton City Schools,6733,Cannelton Elementary & High School,0.308
6350,Tell City-Troy Twp School Corp,6741,Tell City Jr-Sr High School,0.255
6375,North Central Parke Comm Schl Corp,6654,Parke Heritage High School,0.278
6445,Pike County School Corp,6763,Pike Central High School,0.155
6460,MSD Boone Township,6813,Hebron High School,0.287
6470,Duneland School Corporation,6925,Chesterton Senior High School,0.29
6470,Duneland School Corporation,6926,Trojan Virtual Academy,0
6470,Duneland School Corporation,6930,Chesterton Middle School,0.723
6510,East Porter County School Corp,6825,Morgan Township Middle/High School,0.659
6510,East Porter County School Corp,6833,Kouts Middle/High School,0.306
6510,East Porter County School Corp,6849,Washington Twp Middle/High School,0.667
6520,Porter Township School Corp,6838,Boone Grove High School,0.301
6520,Porter Township School Corp,6839,Boone Grove Middle School,NA
6530,Union Township School Corp,6841,Wheeler High School,0.506
6550,Portage Township Schools,6853,Portage High School,0.113
6550,Portage Township Schools,6859,William Fegely Middle School,0.523
6550,Portage Township Schools,6871,Willowcreek Middle School,0.571
6560,Valparaiso Community Schools,6881,Valparaiso High School,0.333
6560,Valparaiso Community Schools,6885,Benjamin Franklin Middle School,0.94
6560,Valparaiso Community Schools,6887,Thomas Jefferson Middle School,0.824
6590,MSD Mount Vernon,6949,Mount Vernon High School,0.304
6600,MSD North Posey Co Schools,6975,North Posey High School,0.178
6620,Eastern Pulaski Community Sch Corp,6997,Winamac Community High School,0.12
6630,West Central School Corp,7025,West Central Senior High School,0.153
6705,South Putnam Community Schools,7071,South Putnam High School,0.409
6715,North Putnam Community Schools,7061,North Putnam Sr High School,0.395
6750,Cloverdale Community Schools,7077,Cloverdale High School,0.174
6755,Greencastle Community School Corp,7089,Greencastle High School,0.306
6795,Union School Corporation,7119,Union Junior & High School,0.16
6795,Union School Corporation,7122,Indiana Digital Elementary,NA
6795,Union School Corporation,7131,Indiana Digital JR and High School,0.086
6795,Union School Corporation,7142,Indiana Digital Alternative School,0.015
6805,Randolph Southern School Corp,7121,Randolph Southern Jr-Sr High Sch,0.161
6820,Monroe Central School Corp,7151,Monroe Central Jr-Sr High School,0.282
6825,Randolph Central School Corp,7125,Winchester Community High School,0.189
6835,Randolph Eastern School Corp,7161,Union City Community Jr/Sr High,0.074
6865,South Ripley Com Sch Corp,7182,South Ripley High School,0.113
6895,Batesville Community School Corp,7217,Batesville High School,0.226
6895,Batesville Community School Corp,7219,Batesville Middle School,0.949
6900,Jac-Cen-Del Community Sch Corp,7193,Jac-Cen-Del MS/HS,0.053
6910,Milan Community Schools,7205,Milan High School,0.161
6995,Rush County Schools,7285,Rushville Consolidated High School,0.227
7150,John Glenn School Corporation,7453,John Glenn High School,0.415
7175,Penn-Harris-Madison School Corp,7353,Penn High School,0.541
7200,School City of Mishawaka,7461,Mishawaka High School,0.158
7200,School City of Mishawaka,7467,Oaklawn Campus Program,NA
7205,South Bend Community School Corp,7248,South Bend Virtual School,NA
7205,South Bend Community School Corp,7421,Clay High School,0.076
7205,South Bend Community School Corp,7505,Adams High School,0.163
7205,South Bend Community School Corp,7513,Riley High School,0.095
7205,South Bend Community School Corp,7517,Washington High School,0.023
7205,South Bend Community School Corp,7534,Rise Up Academy at Eggleston,NA
7205,South Bend Community School Corp,7632,Juvenile Justice Center,NA
7215,Union-North United School Corp,7399,LaVille Jr-Sr High School,0.327
7230,Scott County School District 1,7629,Austin High School,0.173
7255,Scott County School District 2,7641,Scottsburg Senior High School,0.102
7285,Shelby Eastern Schools,7661,Morristown Jr-Sr High School,0.226
7285,Shelby Eastern Schools,7665,Waldron Jr-Sr High School,0.15
7350,Northwestern Con School Corp,7689,Triton Central High School,0.403
7360,Southwestern Con Sch Shelby Co,7701,Southwestern High School,0.114
7365,Shelbyville Central Schools,7717,Shelbyville Sr High School,0.159
7365,Shelbyville Central Schools,7721,Shelbyville Middle School,0.686
7385,North Spencer County Sch Corp,7759,Heritage Hills High School,0.5
7445,South Spencer County Sch Corp,7795,South Spencer High School,0.286
7495,Oregon-Davis School Corp,7831,Oregon-Davis Jr-Sr High School,0.136
7515,North Judson-San Pierre Sch Corp,7849,N Judson-San Pierre Jr Sr High Sch,0.217
7525,Knox Community School Corp,7833,Knox Community High School,0.138
7525,Knox Community School Corp,7837,Knox Community Middle School,0.35
7605,Fremont Community Schools,7877,Fremont High School,0.613
7610,Hamilton Community Schools,7885,Hamilton Community High School,0.091
7615,MSD Steuben County,7893,Angola High School,0.229
7615,MSD Steuben County,7895,Angola Middle School,0.784
7645,Northeast School Corp,7917,North Central Jr/Sr High School,0.203
7715,Southwest School Corporation,7954,Carlisle Middle School,0.778
7715,Southwest School Corporation,7957,Sullivan High School,0.191
7715,Southwest School Corporation,7961,Sullivan Middle School,0.5
7775,Switzerland County School Corp,7993,Switzerland Co Senior High School,0.18
7855,Lafayette School Corporation,8069,Jefferson High School,0.181
7855,Lafayette School Corporation,8077,Lafayette Tecumseh Jr High School,1
7865,Tippecanoe School Corp,8003,McCutcheon High School,0.246
7865,Tippecanoe School Corp,8029,William Henry Harrison High School,0.482
7875,West Lafayette Com School Corp,8129,West Lafayette Jr/Sr High School,0.61
7935,Tri-Central Community Schools,8155,Tri Central Middle-High School,0.258
7945,Tipton Community School Corp,8177,Tipton High School,0.126
7950,Union Co/Clg Corner Joint Sch Dist,8193,Union County High School,0.224
7995,Evansville Vanderburgh School Corp,8207,EVSC Virtual Academy,0.278
7995,Evansville Vanderburgh School Corp,8237,Benjamin Bosse High School,0.135
7995,Evansville Vanderburgh School Corp,8241,Central High School,0.275
7995,Evansville Vanderburgh School Corp,8245,Francis Joseph Reitz High School,0.386
7995,Evansville Vanderburgh School Corp,8253,North High School,0.37
7995,Evansville Vanderburgh School Corp,8270,Academy for Innovative Studies,0
7995,Evansville Vanderburgh School Corp,8271,Harwood Career Prep High School,0
7995,Evansville Vanderburgh School Corp,8311,William Henry Harrison High School,0.17
7995,Evansville Vanderburgh School Corp,8326,New Tech Institute,0.361
7995,Evansville Vanderburgh School Corp,8345,Perry Heights Middle School,NA
8010,North Vermillion Com Sch Corp,8394,North Vermillion High School,0.226
8020,South Vermillion Com Sch Corp,8432,South Vermillion High School,0.211
8030,Vigo County School Corp,8441,Terre Haute North Vigo High School,0.24
8030,Vigo County School Corp,8453,West Vigo High School,0.306
8030,Vigo County School Corp,8457,Terre Haute South Vigo High School,0.195
8030,Vigo County School Corp,8483,Vigo Virtual School Academy,0.182
8030,Vigo County School Corp,8611,Booker T Washington Alt Sch,0
8045,Manchester Community Schools,8625,Manchester Jr-Sr High School,0.314
8050,MSD Wabash County Schools,8651,Northfield Jr-Sr High School,0.241
8050,MSD Wabash County Schools,8655,Southwood Jr-Sr High School,0.482
8050,MSD Wabash County Schools,8673,White's Jr-Sr High School,NA
8060,Wabash City Schools,8693,Wabash High School,0.089
8060,Wabash City Schools,8694,Wabash Middle School,0.625
8115,MSD Warren County,8737,Seeger Memorial Jr-Sr High School,0.436
8130,Warrick County School Corp,8772,Tecumseh High School,0.292
8130,Warrick County School Corp,8789,Boonville High School,0.302
8130,Warrick County School Corp,8809,Castle High School,0.481
8205,Salem Community Schools,8857,Salem High School,0.163
8215,East Washington School Corp,8905,Eastern High School,0.087
8220,West Washington School Corp,8869,West Washington Jr-Sr High School,0.261
8305,Nettle Creek School Corporation,8985,Hagerstown Jr-Sr High School,0.304
8355,Western Wayne Schools,8961,Lincoln Middle/ High School,0.211
8355,Western Wayne Schools,8965,Lincoln Middle School,NA
8360,Centerville-Abington Com Schs,8981,Centerville Sr High School,0.32
8375,Northeastern Wayne Schools,8927,Northeastern High School,0.163
8385,Richmond Community Schools,8993,Richmond High School,0.156
8425,Southern Wells Com Schools,9058,Southern Wells Jr-Sr High School,0.362
8435,Northern Wells Community Schools,9087,Norwell High School,0.321
8445,MSD Bluffton-Harrison,9089,Bluffton High School,0.429
8515,North White School Corp,9135,North White High School,0.13
8525,Frontier School Corporation,9137,Frontier Jr-Sr High School,0.189
8535,Tri-County School Corporation,9141,Tri-County Jr/Sr High School,0.278
